onset	duration	trial_name	trial_type	stim_file
650.545	0.200	BOLDSAT	1	../circle/images/green_circle.png
651.091	0.200	BOLDSAT	1	../circle/images/green_circle.png
651.636	0.200	BOLDSAT	1	../circle/images/green_circle.png
652.182	0.200	BOLDSAT	1	../circle/images/green_circle.png
652.727	0.200	BOLDSAT	1	../circle/images/green_circle.png
653.273	0.200	BOLDSAT	1	../circle/images/green_circle.png
653.818	0.200	BOLDSAT	1	../circle/images/green_circle.png
654.364	0.200	BOLDSAT	1	../circle/images/green_circle.png
654.909	0.200	BOLDSAT	1	../circle/images/green_circle.png
655.455	0.200	BOLDSAT	1	../circle/images/green_circle.png
656.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
668.000	0.200	BOLDSAT_0.83Hz	83	../circle/images/green_circle.png
669.200	0.200	BOLDSAT	1	../circle/images/green_circle.png
670.400	0.200	BOLDSAT	1	../circle/images/green_circle.png
671.600	0.200	BOLDSAT	1	../circle/images/green_circle.png
672.800	0.200	BOLDSAT	1	../circle/images/green_circle.png
674.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
686.000	0.200	BOLDSAT_0.83Hz	83	../circle/images/green_circle.png
687.200	0.200	BOLDSAT	1	../circle/images/green_circle.png
688.400	0.200	BOLDSAT	1	../circle/images/green_circle.png
689.600	0.200	BOLDSAT	1	../circle/images/green_circle.png
690.800	0.200	BOLDSAT	1	../circle/images/green_circle.png
692.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
704.000	0.200	BOLDSAT_0.83Hz	83	../circle/images/green_circle.png
705.200	0.200	BOLDSAT	1	../circle/images/green_circle.png
706.400	0.200	BOLDSAT	1	../circle/images/green_circle.png
707.600	0.200	BOLDSAT	1	../circle/images/green_circle.png
708.800	0.200	BOLDSAT	1	../circle/images/green_circle.png
710.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
