onset	duration	ISI	trial_type	trial_name	stim_file	stim_file_index
83.75	0.5	0.35	15	VERTICAL-L-R-13	images/prf_1_128.png	128
84.6	0.5	0.35	14	VERTICAL-L-R-12	images/prf_1_129.png	129
85.45	0.5	0.35	13	VERTICAL-L-R-11	images/prf_1_130.png	130
86.3	0.5	0.35	12	VERTICAL-L-R-10	images/prf_1_131.png	131
87.15	0.5	0.35	11	VERTICAL-L-R-9	images/prf_1_132.png	132
88	0.5	0.35	10	VERTICAL-L-R-8	images/prf_1_133.png	133
88.85	0.5	0.35	9	VERTICAL-L-R-7	images/prf_1_134.png	134
89.7	0.5	0.35	8	VERTICAL-L-R-6	images/prf_1_135.png	135
90.55	0.5	0.35	7	VERTICAL-L-R-5	images/prf_1_136.png	136
91.4	0.5	0.35	6	VERTICAL-L-R-4	images/prf_1_137.png	137
92.25	0.5	0.35	5	VERTICAL-L-R-3	images/prf_1_138.png	138
93.1	0.5	0.35	4	VERTICAL-L-R-2	images/prf_1_139.png	139
93.95	0.5	0.35	3	VERTICAL-L-R-1	images/prf_1_140.png	140
94.8	0.5	0.35	83	DIAGONAL-LU-RD-1	images/prf_1_141.png	141
95.65	0.5	0.35	84	DIAGONAL-LU-RD-2	images/prf_1_142.png	142
96.5	0.5	0.35	85	DIAGONAL-LU-RD-3	images/prf_1_143.png	143
97.35	0.5	0.35	86	DIAGONAL-LU-RD-4	images/prf_1_144.png	144
98.2	0.5	0.35	87	DIAGONAL-LU-RD-5	images/prf_1_145.png	145
99.05	0.5	0.35	88	DIAGONAL-LU-RD-6	images/prf_1_146.png	146
99.9	0.5	0.35	89	DIAGONAL-LU-RD-7	images/prf_1_147.png	147
100.75	0.5	0.35	90	DIAGONAL-LU-RD-8	images/prf_1_148.png	148
101.6	0.5	0.35	91	DIAGONAL-LU-RD-9	images/prf_1_149.png	149
102.45	0.5	0.35	92	DIAGONAL-LU-RD-10	images/prf_1_150.png	150
103.3	0.5	0.35	93	DIAGONAL-LU-RD-11	images/prf_1_151.png	151
104.15	0.5	0.35	94	DIAGONAL-LU-RD-12	images/prf_1_152.png	152
105	0.5	0.35	58	HORIZONTAL-U-D-28	images/prf_1_169.png	169
105.85	0.5	0.35	57	HORIZONTAL-U-D-27	images/prf_1_170.png	170
106.7	0.5	0.35	56	HORIZONTAL-U-D-26	images/prf_1_171.png	171
107.55	0.5	0.35	55	HORIZONTAL-U-D-25	images/prf_1_172.png	172
108.4	0.5	0.35	54	HORIZONTAL-U-D-24	images/prf_1_173.png	173
109.25	0.5	0.35	53	HORIZONTAL-U-D-23	images/prf_1_174.png	174
110.1	0.5	0.35	52	HORIZONTAL-U-D-22	images/prf_1_175.png	175
110.95	0.5	0.35	51	HORIZONTAL-U-D-21	images/prf_1_176.png	176
111.8	0.5	0.35	50	HORIZONTAL-U-D-20	images/prf_1_177.png	177
112.65	0.5	0.35	49	HORIZONTAL-U-D-19	images/prf_1_178.png	178
113.5	0.5	0.35	48	HORIZONTAL-U-D-18	images/prf_1_179.png	179
